id,source,target,panel,interaction,edge_type,evidence_level,overlap_count,overlap_genes,contrast,logFC,p_value,bh_by_contrast,provenance,evidence_boundary
A_HC_016,A_HERB_mohanlian,A_CMP_MOL001689,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_017,A_HERB_mohanlian,A_CMP_MOL002975,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_018,A_HERB_mohanlian,A_CMP_MOL003378,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_019,A_HERB_mohanlian,A_CMP_MOL003389,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_020,A_HERB_mohanlian,A_CMP_MOL003398,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_021,A_HERB_mohanlian,A_CMP_MOL003404,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_022,A_HERB_mohanlian,A_CMP_MOL000006,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_HC_023,A_HERB_mohanlian,A_CMP_MOL000098,A,resource-reported constituent,A_Herb-compound,resource membership,,,,,,,"Legacy resource table, relation retained exactly.","Membership only; not activity, efficacy, or causality."
A_CT_001,A_CMP_MOL000006,A_TGT_ACHE,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_002,A_CMP_MOL000006,A_TGT_ARG1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_003,A_CMP_MOL000006,A_TGT_CA2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_004,A_CMP_MOL000006,A_TGT_CDK2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_005,A_CMP_MOL000006,A_TGT_CDK6,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_006,A_CMP_MOL000006,A_TGT_GSK3B,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_007,A_CMP_MOL000006,A_TGT_PARP1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_008,A_CMP_MOL000006,A_TGT_PTGS2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_009,A_CMP_MOL000006,A_TGT_SYK,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_010,A_CMP_MOL000006,A_TGT_TERT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_011,A_CMP_MOL000098,A_TGT_ACHE,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_012,A_CMP_MOL000098,A_TGT_APEX1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_013,A_CMP_MOL000098,A_TGT_ARG1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_014,A_CMP_MOL000098,A_TGT_CA2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_015,A_CMP_MOL000098,A_TGT_CDK2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_016,A_CMP_MOL000098,A_TGT_CDK6,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_017,A_CMP_MOL000098,A_TGT_GSK3B,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_018,A_CMP_MOL000098,A_TGT_PARP1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_019,A_CMP_MOL000098,A_TGT_SYK,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_020,A_CMP_MOL000098,A_TGT_TERT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_021,A_CMP_MOL000098,A_TGT_TOP2A,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_022,A_CMP_MOL000184,A_TGT_PTPN11,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_023,A_CMP_MOL000184,A_TGT_SIGMAR1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_024,A_CMP_MOL000184,A_TGT_TERT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_025,A_CMP_MOL000354,A_TGT_ACHE,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_026,A_CMP_MOL000354,A_TGT_APEX1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_027,A_CMP_MOL000354,A_TGT_ARG1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_028,A_CMP_MOL000354,A_TGT_CA2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_029,A_CMP_MOL000354,A_TGT_CDK2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_030,A_CMP_MOL000354,A_TGT_CDK6,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_031,A_CMP_MOL000354,A_TGT_GSK3B,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_032,A_CMP_MOL000354,A_TGT_PARP1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_033,A_CMP_MOL000354,A_TGT_SYK,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_034,A_CMP_MOL000354,A_TGT_TERT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_035,A_CMP_MOL000354,A_TGT_TOP2A,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_036,A_CMP_MOL000358,A_TGT_ACHE,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_037,A_CMP_MOL000358,A_TGT_HIF1A,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_038,A_CMP_MOL000358,A_TGT_PTPN11,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_039,A_CMP_MOL000358,A_TGT_SIGMAR1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_040,A_CMP_MOL000358,A_TGT_TERT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_041,A_CMP_MOL000358,A_TGT_TOP2A,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_042,A_CMP_MOL000422,A_TGT_ACHE,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_043,A_CMP_MOL000422,A_TGT_ARG1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_044,A_CMP_MOL000422,A_TGT_CA2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_045,A_CMP_MOL000422,A_TGT_CDK2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_046,A_CMP_MOL000422,A_TGT_CDK6,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_047,A_CMP_MOL000422,A_TGT_GSK3B,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_048,A_CMP_MOL000422,A_TGT_PARP1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_049,A_CMP_MOL000422,A_TGT_PTGS2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_050,A_CMP_MOL000422,A_TGT_SYK,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_051,A_CMP_MOL000422,A_TGT_TERT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_052,A_CMP_MOL000953,A_TGT_ACHE,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_053,A_CMP_MOL000953,A_TGT_CDK4,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_054,A_CMP_MOL000953,A_TGT_CDK6,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_055,A_CMP_MOL000953,A_TGT_HIF1A,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_056,A_CMP_MOL000953,A_TGT_PTPN11,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_057,A_CMP_MOL000953,A_TGT_SIGMAR1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_058,A_CMP_MOL000953,A_TGT_TERT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_059,A_CMP_MOL000953,A_TGT_TOP2A,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_060,A_CMP_MOL001558,A_TGT_CDK2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_061,A_CMP_MOL001558,A_TGT_CHEK1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_062,A_CMP_MOL001558,A_TGT_GSK3B,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_063,A_CMP_MOL001558,A_TGT_HIF1A,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_064,A_CMP_MOL001558,A_TGT_PARP1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_065,A_CMP_MOL001558,A_TGT_SYK,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_066,A_CMP_MOL001689,A_TGT_ACHE,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_067,A_CMP_MOL001689,A_TGT_ARG1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_068,A_CMP_MOL001689,A_TGT_CA2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_069,A_CMP_MOL001689,A_TGT_CDK2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_070,A_CMP_MOL001689,A_TGT_CDK6,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_071,A_CMP_MOL001689,A_TGT_GSK3B,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_072,A_CMP_MOL001689,A_TGT_KIT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_073,A_CMP_MOL001689,A_TGT_PARP1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_074,A_CMP_MOL001689,A_TGT_PTGS2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_075,A_CMP_MOL001689,A_TGT_SIGMAR1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_076,A_CMP_MOL001689,A_TGT_SYK,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_077,A_CMP_MOL001689,A_TGT_TERT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_078,A_CMP_MOL001790,A_TGT_ACHE,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_079,A_CMP_MOL001790,A_TGT_ARG1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_080,A_CMP_MOL001790,A_TGT_CA2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_081,A_CMP_MOL001790,A_TGT_CDK6,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_082,A_CMP_MOL001790,A_TGT_CHEK1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_083,A_CMP_MOL001790,A_TGT_GSK3B,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_084,A_CMP_MOL001790,A_TGT_HSP90AB1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_085,A_CMP_MOL001790,A_TGT_KIT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_086,A_CMP_MOL001790,A_TGT_PARP1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_087,A_CMP_MOL001790,A_TGT_PTGS2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_088,A_CMP_MOL001790,A_TGT_SIGMAR1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_089,A_CMP_MOL001790,A_TGT_SYK,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_090,A_CMP_MOL001790,A_TGT_TERT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_091,A_CMP_MOL002975,A_TGT_ACHE,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_092,A_CMP_MOL002975,A_TGT_CA2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_093,A_CMP_MOL002975,A_TGT_CHEK1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_094,A_CMP_MOL002975,A_TGT_GSK3B,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_095,A_CMP_MOL002975,A_TGT_HIF1A,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_096,A_CMP_MOL002975,A_TGT_KIT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_097,A_CMP_MOL002975,A_TGT_PARP1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_098,A_CMP_MOL002975,A_TGT_TERT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_099,A_CMP_MOL003378,A_TGT_CA2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_100,A_CMP_MOL003378,A_TGT_GSK3B,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_101,A_CMP_MOL003378,A_TGT_TERT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_102,A_CMP_MOL003389,A_TGT_ACHE,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_103,A_CMP_MOL003389,A_TGT_ARG1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_104,A_CMP_MOL003389,A_TGT_CA2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_105,A_CMP_MOL003389,A_TGT_CDK6,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_106,A_CMP_MOL003389,A_TGT_CHEK1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_107,A_CMP_MOL003389,A_TGT_HSP90AA1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_108,A_CMP_MOL003389,A_TGT_HSP90AB1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_109,A_CMP_MOL003389,A_TGT_PARP1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_110,A_CMP_MOL003398,A_TGT_ACHE,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_111,A_CMP_MOL003398,A_TGT_ARG1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_112,A_CMP_MOL003398,A_TGT_CA2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_113,A_CMP_MOL003398,A_TGT_CDK4,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_114,A_CMP_MOL003398,A_TGT_CHEK1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_115,A_CMP_MOL003398,A_TGT_HSP90AA1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_116,A_CMP_MOL003398,A_TGT_HSP90AB1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_117,A_CMP_MOL003404,A_TGT_CA2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
